city,city_ascii,state_id,state_name,lat,lng
Roseville,Roseville,MI,Michigan,42.5074,-82.9369
Elmhurst,Elmhurst,IL,Illinois,41.8973,-87.9432
New Philadelphia,New Philadelphia,OH,Ohio,40.486,-81.4402
Sandusky,Sandusky,OH,Ohio,41.4437,-82.7149
Euclid,Euclid,OH,Ohio,41.5904,-81.5188
Kingman,Kingman,AZ,Arizona,35.217,-114.0105
Galveston,Galveston,TX,Texas,29.2487,-94.891
Everett,Everett,MA,Massachusetts,42.4064,-71.0545
University,University,FL,Florida,28.0771,-82.4335
Salina,Salina,KS,Kansas,38.8137,-97.6143
Farmington,Farmington,MO,Missouri,37.7821,-90.4288
Hilo,Hilo,HI,Hawaii,19.6886,-155.0864
Weatherford,Weatherford,TX,Texas,32.7536,-97.7723
Middletown,Middletown,CT,Connecticut,41.5476,-72.6549
Roseburg,Roseburg,OR,Oregon,43.2232,-123.3518
Biloxi,Biloxi,MS,Mississippi,30.4422,-88.9512
Leavenworth,Leavenworth,KS,Kansas,39.3239,-94.924
Pearl City,Pearl City,HI,Hawaii,21.4031,-157.9566
Fort Pierce,Fort Pierce,FL,Florida,27.4256,-80.3431
Winter Garden,Winter Garden,FL,Florida,28.5421,-81.5966
Oro Valley,Oro Valley,AZ,Arizona,32.4208,-110.9768
Morgan Hill,Morgan Hill,CA,California,37.1326,-121.6417
Pinehurst,Pinehurst,NC,North Carolina,35.1922,-79.4684
Danville,Danville,VA,Virginia,36.5831,-79.4087
Rockwall,Rockwall,TX,Texas,32.9169,-96.4377
Potomac,Potomac,MD,Maryland,39.0141,-77.1943
Coachella,Coachella,CA,California,33.6905,-116.143
Wake Forest,Wake Forest,NC,North Carolina,35.9629,-78.5141
El Dorado Hills,El Dorado Hills,CA,California,38.675,-121.049
Tupelo,Tupelo,MS,Mississippi,34.2692,-88.7318
West Seneca,West Seneca,NY,New York,42.8374,-78.7509
Attleboro,Attleboro,MA,Massachusetts,41.9311,-71.295
Pine Bluff,Pine Bluff,AR,Arkansas,34.2116,-92.0178
Oakland Park,Oakland Park,FL,Florida,26.178,-80.1528
Marion,Marion,OH,Ohio,40.5933,-83.1237
Arlington,Arlington,MA,Massachusetts,42.4187,-71.164
Altadena,Altadena,CA,California,34.1928,-118.1345
Lufkin,Lufkin,TX,Texas,31.3217,-94.7277
Manitowoc,Manitowoc,WI,Wisconsin,44.0991,-87.6811
Selma,Selma,CA,California,36.5715,-119.6143
Trujillo Alto,Trujillo Alto,PR,Puerto Rico,18.3601,-66.0103
Strongsville,Strongsville,OH,Ohio,41.3128,-81.8313
Danville,Danville,CA,California,37.8121,-121.9698
Quincy,Quincy,IL,Illinois,39.9335,-91.3799
Lancaster,Lancaster,OH,Ohio,39.7249,-82.6049
Riverton,Riverton,UT,Utah,40.5177,-111.9635
The Colony,The Colony,TX,Texas,33.0925,-96.8977
Lake Ridge,Lake Ridge,VA,Virginia,38.6843,-77.3059
Urbandale,Urbandale,IA,Iowa,41.639,-93.7813
Plainfield,Plainfield,IL,Illinois,41.6206,-88.2252
Lombard,Lombard,IL,Illinois,41.8742,-88.0157
Prescott,Prescott,AZ,Arizona,34.585,-112.4475
North Lauderdale,North Lauderdale,FL,Florida,26.2113,-80.2209
Eureka,Eureka,CA,California,40.7942,-124.1568
Hackensack,Hackensack,NJ,New Jersey,40.889,-74.0461
Sayreville,Sayreville,NJ,New Jersey,40.4656,-74.3237
Altamonte Springs,Altamonte Springs,FL,Florida,28.6615,-81.3953
Del Rio,Del Rio,TX,Texas,29.3708,-100.88
Cleveland Heights,Cleveland Heights,OH,Ohio,41.5112,-81.5636
Bountiful,Bountiful,UT,Utah,40.8722,-111.8647
Desert Hot Springs,Desert Hot Springs,CA,California,33.9551,-116.543
Peachtree Corners,Peachtree Corners,GA,Georgia,33.967,-84.2319
Haltom City,Haltom City,TX,Texas,32.8176,-97.2707
Ormond Beach,Ormond Beach,FL,Florida,29.296,-81.1003
Annandale,Annandale,VA,Virginia,38.8324,-77.196
Cutler Bay,Cutler Bay,FL,Florida,25.5765,-80.3356
Adrian,Adrian,MI,Michigan,41.8994,-84.0446
Goose Creek,Goose Creek,SC,South Carolina,32.9925,-80.0054
Moorhead,Moorhead,MN,Minnesota,46.8673,-96.7461
Westfield,Westfield,IN,Indiana,40.0333,-86.1532
Concord,Concord,NH,New Hampshire,43.2305,-71.5595
Rohnert Park,Rohnert Park,CA,California,38.348,-122.6964
Brea,Brea,CA,California,33.9254,-117.8656
Klamath Falls,Klamath Falls,OR,Oregon,42.2191,-121.7754
Salem,Salem,MA,Massachusetts,42.5129,-70.902
Whitney,Whitney,NV,Nevada,36.1005,-115.038
North Miami Beach,North Miami Beach,FL,Florida,25.9302,-80.166
Freeport,Freeport,NY,New York,40.6515,-73.585
Centralia,Centralia,WA,Washington,46.7226,-122.9696
Gallatin,Gallatin,TN,Tennessee,36.3782,-86.4696
West Babylon,West Babylon,NY,New York,40.7112,-73.3567
Stevens Point,Stevens Point,WI,Wisconsin,44.5241,-89.5508
San Bruno,San Bruno,CA,California,37.6254,-122.4313
Brentwood,Brentwood,TN,Tennessee,35.9918,-86.7758
Burke,Burke,VA,Virginia,38.7773,-77.2633
Hicksville,Hicksville,NY,New York,40.7637,-73.5245
Edmonds,Edmonds,WA,Washington,47.8115,-122.3533
Apache Junction,Apache Junction,AZ,Arizona,33.3985,-111.5351
Fairfield,Fairfield,OH,Ohio,39.3301,-84.5409
Oakley,Oakley,CA,California,37.9929,-121.6951
Hutchinson,Hutchinson,KS,Kansas,38.0671,-97.9081
Greenwood,Greenwood,SC,South Carolina,34.1945,-82.1542
Richmond,Richmond,IN,Indiana,39.8318,-84.8905
Puyallup,Puyallup,WA,Washington,47.1794,-122.2902
Linden,Linden,NJ,New Jersey,40.6251,-74.2381
Urbana,Urbana,IL,Illinois,40.1106,-88.1972
Beverly,Beverly,MA,Massachusetts,42.5681,-70.8627
Clovis,Clovis,NM,New Mexico,34.4376,-103.1923
Statesboro,Statesboro,GA,Georgia,32.4376,-81.775
Hobbs,Hobbs,NM,New Mexico,32.7282,-103.16
McMinnville,McMinnville,OR,Oregon,45.211,-123.1918
Schertz,Schertz,TX,Texas,29.5649,-98.2537
Bell Gardens,Bell Gardens,CA,California,33.9663,-118.155
Channelview,Channelview,TX,Texas,29.7914,-95.1145
Oviedo,Oviedo,FL,Florida,28.658,-81.1872
Odenton,Odenton,MD,Maryland,39.0661,-76.6939
Grove City,Grove City,OH,Ohio,39.8659,-83.0694
Campbell,Campbell,CA,California,37.2802,-121.9538
Wentzville,Wentzville,MO,Missouri,38.8152,-90.8667
Woonsocket,Woonsocket,RI,Rhode Island,42.001,-71.4993
La Quinta,La Quinta,CA,California,33.6536,-116.2785
North Fort Myers,North Fort Myers,FL,Florida,26.7243,-81.8491
Weslaco,Weslaco,TX,Texas,26.1648,-97.9898
Zanesville,Zanesville,OH,Ohio,39.9565,-82.0132
Newnan,Newnan,GA,Georgia,33.3766,-84.7761
Shakopee,Shakopee,MN,Minnesota,44.7744,-93.4764
Brighton,Brighton,CO,Colorado,39.9716,-104.7964
Rancho Palos Verdes,Rancho Palos Verdes,CA,California,33.7554,-118.3637
Catonsville,Catonsville,MD,Maryland,39.2646,-76.7424
Coppell,Coppell,TX,Texas,32.9638,-96.9905
Moline,Moline,IL,Illinois,41.4821,-90.4921
Delaware,Delaware,OH,Ohio,40.2866,-83.0747
Westfield,Westfield,MA,Massachusetts,42.1382,-72.7561
Shelton,Shelton,CT,Connecticut,41.306,-73.1383
Greenacres,Greenacres,FL,Florida,26.6272,-80.1371
Westerville,Westerville,OH,Ohio,40.1241,-82.9209
Linton Hall,Linton Hall,VA,Virginia,38.7551,-77.575
Manassas,Manassas,VA,Virginia,38.7479,-77.4839
Kearny,Kearny,NJ,New Jersey,40.7528,-74.1202
South Valley,South Valley,NM,New Mexico,35.0092,-106.6819
Los Banos,Los Banos,CA,California,37.063,-120.8406
Richmond,Richmond,KY,Kentucky,37.7306,-84.2926
Spanish Fork,Spanish Fork,UT,Utah,40.1101,-111.6406
Belleville,Belleville,IL,Illinois,38.5165,-89.99
Maplewood,Maplewood,MN,Minnesota,44.9842,-93.0247
Wilkes-Barre,Wilkes-Barre,PA,Pennsylvania,41.2468,-75.8759
Pottsville,Pottsville,PA,Pennsylvania,40.6798,-76.2092
Columbia,Columbia,TN,Tennessee,35.6235,-87.0486
Bartlett,Bartlett,IL,Illinois,41.9803,-88.2069
Bluefield,Bluefield,WV,West Virginia,37.2608,-81.2143
Fitchburg,Fitchburg,MA,Massachusetts,42.5912,-71.8156
Marion,Marion,IN,Indiana,40.5496,-85.66
Cedar Falls,Cedar Falls,IA,Iowa,42.5195,-92.4534
Buffalo Grove,Buffalo Grove,IL,Illinois,42.1673,-87.9616
Jamestown,Jamestown,NY,New York,42.0975,-79.2366
Essex,Essex,MD,Maryland,39.3024,-76.4457
Huntsville,Huntsville,TX,Texas,30.705,-95.5544
Mableton,Mableton,GA,Georgia,33.8132,-84.5656
Waipahu,Waipahu,HI,Hawaii,21.3858,-158.0103
Clarksburg,Clarksburg,WV,West Virginia,39.2863,-80.323
Royal Palm Beach,Royal Palm Beach,FL,Florida,26.7038,-80.2241
Marion,Marion,IA,Iowa,42.045,-91.5846
Covington,Covington,KY,Kentucky,39.0334,-84.5166
Friendswood,Friendswood,TX,Texas,29.5111,-95.1979
Indian Trail,Indian Trail,NC,North Carolina,35.0698,-80.6457
Woburn,Woburn,MA,Massachusetts,42.4869,-71.1543
Holyoke,Holyoke,MA,Massachusetts,42.2125,-72.6411
Arecibo,Arecibo,PR,Puerto Rico,18.4491,-66.7387
Montclair,Montclair,CA,California,34.0714,-117.698
Clinton,Clinton,MD,Maryland,38.7499,-76.9063
Torrington,Torrington,CT,Connecticut,41.8349,-73.1281
Cedar City,Cedar City,UT,Utah,37.6834,-113.0956
Coram,Coram,NY,New York,40.8813,-73.0059
San Gabriel,San Gabriel,CA,California,34.0948,-118.099
Hallandale Beach,Hallandale Beach,FL,Florida,25.9854,-80.1423
Crystal Lake,Crystal Lake,IL,Illinois,42.2333,-88.3351
Calexico,Calexico,CA,California,32.6849,-115.4944
Lake Oswego,Lake Oswego,OR,Oregon,45.413,-122.7003
Muskogee,Muskogee,OK,Oklahoma,35.7431,-95.3568
Romeoville,Romeoville,IL,Illinois,41.6318,-88.0996
Plant City,Plant City,FL,Florida,28.014,-82.1201
Keizer,Keizer,OR,Oregon,45.0029,-123.0241
New Berlin,New Berlin,WI,Wisconsin,42.9726,-88.1291
Chelsea,Chelsea,MA,Massachusetts,42.3959,-71.0325
The Acreage,The Acreage,FL,Florida,26.7741,-80.2779
La Puente,La Puente,CA,California,34.0323,-117.9533
Roy,Roy,UT,Utah,41.1715,-112.0485
Marlborough,Marlborough,MA,Massachusetts,42.3494,-71.5468
Milton,Milton,GA,Georgia,34.1353,-84.3138
Issaquah,Issaquah,WA,Washington,47.544,-122.0471
Kendall West,Kendall West,FL,Florida,25.7065,-80.4388
Sun City,Sun City,AZ,Arizona,33.6165,-112.2819
Bartlesville,Bartlesville,OK,Oklahoma,36.7357,-95.9453
Mission Bend,Mission Bend,TX,Texas,29.6948,-95.6657
Lancaster,Lancaster,TX,Texas,32.5922,-96.7737
Streamwood,Streamwood,IL,Illinois,42.0209,-88.1778
Germantown,Germantown,TN,Tennessee,35.0829,-89.7825
Annapolis,Annapolis,MD,Maryland,38.9706,-76.5047
Carol Stream,Carol Stream,IL,Illinois,41.9182,-88.1308
Asheboro,Asheboro,NC,North Carolina,35.7158,-79.8129
Culver City,Culver City,CA,California,34.0058,-118.3968
Kalispell,Kalispell,MT,Montana,48.2156,-114.3262
Lynnwood,Lynnwood,WA,Washington,47.8284,-122.3033
Mooresville,Mooresville,NC,North Carolina,35.5849,-80.8265
Brookfield,Brookfield,WI,Wisconsin,43.064,-88.1231
Crestview,Crestview,FL,Florida,30.748,-86.5784
Moses Lake,Moses Lake,WA,Washington,47.128,-119.2761
Woodlawn,Woodlawn,MD,Maryland,39.3054,-76.7489
New Castle,New Castle,PA,Pennsylvania,40.9956,-80.3459
Olive Branch,Olive Branch,MS,Mississippi,34.961,-89.8469
Enterprise,Enterprise,AL,Alabama,31.3276,-85.8459
Frankfort,Frankfort,KY,Kentucky,38.1924,-84.8643
Northglenn,Northglenn,CO,Colorado,39.9108,-104.9783
Warren,Warren,OH,Ohio,41.239,-80.8174
Duncanville,Duncanville,TX,Texas,32.646,-96.9127
Hurst,Hurst,TX,Texas,32.8353,-97.1808
Clermont,Clermont,FL,Florida,28.5402,-81.7259
Wheeling,Wheeling,IL,Illinois,42.1308,-87.924
Fort Lee,Fort Lee,NJ,New Jersey,40.8509,-73.9712
Severna Park,Severna Park,MD,Maryland,39.087,-76.5687
Pacifica,Pacifica,CA,California,37.6112,-122.4781
Lake Worth,Lake Worth,FL,Florida,26.6196,-80.0591
Lebanon,Lebanon,TN,Tennessee,36.204,-86.3481
Eagle Mountain,Eagle Mountain,UT,Utah,40.3137,-112.0114
Reynoldsburg,Reynoldsburg,OH,Ohio,39.9587,-82.7944
Oxford,Oxford,MS,Mississippi,34.3627,-89.5336
Rosenberg,Rosenberg,TX,Texas,29.546,-95.822
Martinez,Martinez,CA,California,37.9985,-122.116
Pleasant Grove,Pleasant Grove,UT,Utah,40.3716,-111.7412
Valrico,Valrico,FL,Florida,27.9193,-82.2293
Huber Heights,Huber Heights,OH,Ohio,39.8595,-84.113
Stanton,Stanton,CA,California,33.8002,-117.9935
Security-Widefield,Security-Widefield,CO,Colorado,38.7489,-104.7142
Menomonee Falls,Menomonee Falls,WI,Wisconsin,43.1487,-88.1227
Granbury,Granbury,TX,Texas,32.4484,-97.7685
Waxahachie,Waxahachie,TX,Texas,32.4032,-96.8444
Richmond West,Richmond West,FL,Florida,25.6105,-80.4297
South Miami Heights,South Miami Heights,FL,Florida,25.5886,-80.3862
Holly Springs,Holly Springs,NC,North Carolina,35.653,-78.8397
Butler,Butler,PA,Pennsylvania,40.8616,-79.8962
Albertville,Albertville,AL,Alabama,34.2634,-86.2107
London,London,KY,Kentucky,37.1175,-84.0767
Cottage Grove,Cottage Grove,MN,Minnesota,44.8161,-92.9274
St. Marys,St. Marys,GA,Georgia,30.7567,-81.5722
Mechanicsville,Mechanicsville,VA,Virginia,37.6262,-77.3561
Cleburne,Cleburne,TX,Texas,32.357,-97.4152
La Presa,La Presa,CA,California,32.711,-117.0027
Valley Stream,Valley Stream,NY,New York,40.6647,-73.7044
Hanover Park,Hanover Park,IL,Illinois,41.9819,-88.1447
Oswego,Oswego,NY,New York,43.4516,-76.5005
East Meadow,East Meadow,NY,New York,40.7197,-73.5604
Oregon City,Oregon City,OR,Oregon,45.3415,-122.5927
Winter Springs,Winter Springs,FL,Florida,28.6889,-81.2704
Carpentersville,Carpentersville,IL,Illinois,42.1227,-88.2895
Wildomar,Wildomar,CA,California,33.6173,-117.2582
Greenfield,Greenfield,WI,Wisconsin,42.9619,-88.0051
Braintree Town,Braintree Town,MA,Massachusetts,42.2039,-71.0022
Parkland,Parkland,WA,Washington,47.1417,-122.4376
Oakton,Oakton,VA,Virginia,38.8887,-77.3016
Rock Island,Rock Island,IL,Illinois,41.4699,-90.5827
West Fargo,West Fargo,ND,North Dakota,46.8573,-96.9057
Egypt Lake-Leto,Egypt Lake-Leto,FL,Florida,28.0177,-82.5062
Mount Juliet,Mount Juliet,TN,Tennessee,36.1991,-86.5114
San Juan,San Juan,TX,Texas,26.1903,-98.152
Land O' Lakes,Land O' Lakes,FL,Florida,28.2075,-82.4476
Georgetown,Georgetown,KY,Kentucky,38.2249,-84.5482
Portage,Portage,IN,Indiana,41.5866,-87.1792
Aventura,Aventura,FL,Florida,25.9565,-80.1372
Owasso,Owasso,OK,Oklahoma,36.2882,-95.8328
Park Ridge,Park Ridge,IL,Illinois,42.0125,-87.8436
Commack,Commack,NY,New York,40.8443,-73.2834
Foley,Foley,AL,Alabama,30.3983,-87.6649
New Albany,New Albany,IN,Indiana,38.3089,-85.8234
Oakville,Oakville,MO,Missouri,38.4472,-90.3199
Benton,Benton,AR,Arkansas,34.5775,-92.5712
Merritt Island,Merritt Island,FL,Florida,28.3146,-80.6713
Meridian,Meridian,MS,Mississippi,32.3846,-88.6896
Kailua,Kailua,HI,Hawaii,21.392,-157.7396
Bettendorf,Bettendorf,IA,Iowa,41.5656,-90.4764
Dunedin,Dunedin,FL,Florida,28.0329,-82.7863
Hilliard,Hilliard,OH,Ohio,40.0353,-83.1578
Phenix City,Phenix City,AL,Alabama,32.4588,-85.0251
Addison,Addison,IL,Illinois,41.9314,-88.0085
West Hollywood,West Hollywood,CA,California,34.0882,-118.3718
Roseville,Roseville,MN,Minnesota,45.0155,-93.1545
Brighton,Brighton,NY,New York,43.1175,-77.5835
Tucker,Tucker,GA,Georgia,33.8436,-84.2021
Moorpark,Moorpark,CA,California,34.2855,-118.877
Richfield,Richfield,MN,Minnesota,44.8762,-93.2833
Monrovia,Monrovia,CA,California,34.165,-117.9921
Kearns,Kearns,UT,Utah,40.652,-112.0093
Oak Creek,Oak Creek,WI,Wisconsin,42.8803,-87.9009
Lincoln Park,Lincoln Park,MI,Michigan,42.2432,-83.1811
Claremont,Claremont,CA,California,34.1259,-117.7153
Oswego,Oswego,IL,Illinois,41.6834,-88.3372
Post Falls,Post Falls,ID,Idaho,47.7213,-116.9385
Peachtree City,Peachtree City,GA,Georgia,33.3943,-84.5712
Lauderdale Lakes,Lauderdale Lakes,FL,Florida,26.1682,-80.2017
Meadow Woods,Meadow Woods,FL,Florida,28.3698,-81.3467
Pahrump,Pahrump,NV,Nevada,36.2411,-116.0176
Portsmouth,Portsmouth,OH,Ohio,38.7539,-82.9446
University,University,FL,Florida,28.59,-81.199
Martinez,Martinez,GA,Georgia,33.5209,-82.0985
Shawnee,Shawnee,OK,Oklahoma,35.3529,-96.965
Gillette,Gillette,WY,Wyoming,44.2752,-105.4983
Elmont,Elmont,NY,New York,40.7033,-73.7078
Prattville,Prattville,AL,Alabama,32.4605,-86.4588
Woodburn,Woodburn,OR,Oregon,45.1473,-122.8603
Watertown Town,Watertown Town,MA,Massachusetts,42.37,-71.1774
Calumet City,Calumet City,IL,Illinois,41.6134,-87.5505
San Juan Capistrano,San Juan Capistrano,CA,California,33.5009,-117.6544
Franklin,Franklin,WI,Wisconsin,42.8854,-88.0104
Temple City,Temple City,CA,California,34.1021,-118.0579
Cooper City,Cooper City,FL,Florida,26.0463,-80.2862
Chillum,Chillum,MD,Maryland,38.9667,-76.979
El Mirage,El Mirage,AZ,Arizona,33.5905,-112.3271
LaGrange,LaGrange,GA,Georgia,33.0274,-85.0384
La Vergne,La Vergne,TN,Tennessee,36.0203,-86.5582
Middletown,Middletown,DE,Delaware,39.4453,-75.7166
Mount Pleasant,Mount Pleasant,MI,Michigan,43.5966,-84.7759
Junction City,Junction City,KS,Kansas,39.0271,-96.8496
Inver Grove Heights,Inver Grove Heights,MN,Minnesota,44.8247,-93.0596
Navarre,Navarre,FL,Florida,30.4174,-86.8907
Monroe,Monroe,NC,North Carolina,35.0061,-80.5595
Bell,Bell,CA,California,33.9801,-118.1798
Gahanna,Gahanna,OH,Ohio,40.0251,-82.8637
Sanford,Sanford,NC,North Carolina,35.4874,-79.1772
Riviera Beach,Riviera Beach,FL,Florida,26.7812,-80.0742
Wildwood,Wildwood,MO,Missouri,38.5799,-90.6699
Tooele,Tooele,UT,Utah,40.5393,-112.3082
Upper Arlington,Upper Arlington,OH,Ohio,40.0272,-83.0704
Auburn,Auburn,CA,California,38.895,-121.0778
Plainfield,Plainfield,IN,Indiana,39.6953,-86.3717
Olney,Olney,MD,Maryland,39.1465,-77.0715
Oak Harbor,Oak Harbor,WA,Washington,48.2965,-122.6333
Manhattan Beach,Manhattan Beach,CA,California,33.8895,-118.3972
Carrollwood,Carrollwood,FL,Florida,28.0577,-82.5149
La Porte,La Porte,TX,Texas,29.6689,-95.0484
Englewood,Englewood,CO,Colorado,39.6468,-104.9942
Randallstown,Randallstown,MD,Maryland,39.3723,-76.8024
Brunswick,Brunswick,OH,Ohio,41.2464,-81.8198
East Point,East Point,GA,Georgia,33.6696,-84.4701
DeLand,DeLand,FL,Florida,29.0224,-81.2873
Pleasant Hill,Pleasant Hill,CA,California,37.954,-122.0759
Golden Glades,Golden Glades,FL,Florida,25.9129,-80.2013
Merrillville,Merrillville,IN,Indiana,41.4728,-87.3197
Stow,Stow,OH,Ohio,41.1765,-81.4344
Orangevale,Orangevale,CA,California,38.6881,-121.2209
Calhoun,Calhoun,GA,Georgia,34.4918,-84.9391
Leawood,Leawood,KS,Kansas,38.9076,-94.6258
Oildale,Oildale,CA,California,35.4249,-119.0279
Menlo Park,Menlo Park,CA,California,37.4686,-122.1672
Sun Prairie,Sun Prairie,WI,Wisconsin,43.1827,-89.2358
New City,New City,NY,New York,41.1543,-73.9909
Arcata,Arcata,CA,California,40.8615,-124.0757
Lockport,Lockport,NY,New York,43.1698,-78.6956
Boardman,Boardman,OH,Ohio,41.0334,-80.6671
Owings Mills,Owings Mills,MD,Maryland,39.4115,-76.7913
Pullman,Pullman,WA,Washington,46.734,-117.1669
Nacogdoches,Nacogdoches,TX,Texas,31.6134,-94.6528
Kearney,Kearney,NE,Nebraska,40.701,-99.0834
Ferry Pass,Ferry Pass,FL,Florida,30.5203,-87.1903
Vestavia Hills,Vestavia Hills,AL,Alabama,33.4518,-86.7438
